2285	2285		0	1	0.5	0.5	1	1	1	1	1	1	0.5	0.5	1	0.5	1	0.5	0.5	0.5							0.2	2	1	6	0.706896551724138	1966	0	1	13											0	0	
2328	2328		1	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1							0.2	2	0.6	4	0.810344827586207	1960	0	1	14											0	0	
2329	2329		1	0	1	0	0	0	1	0	0	1	1	1	1	1	1	1	1	0							0.4	3	0.8	5	0.620689655172414	1971	1	2	11											0	0	
2354	2354		1	0	1	0	1	1	1	0	0	0	0	1	0	0	1	0.5	1	0							0.2	2	0	1	0.706896551724138	1966	0	1	8.5											0	0	
2355	2355		0.5	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0.5	0	0		0.0899667760260268	-0.0320637395349896	1.67026956335583			0.4	3	1	6	0.517241379310345	1977	1	2	5			0	-0.0490126583298784	-0.0471785602750905	-0.03206373953498964		-0.0395580381691294	0.273223989276551	-0.0133236611984706	1	1	-0.1220305155610164
2372	2372		1	0	0	0	0	0	1	0	0	0	1	0	0	0	0.5	1	1	0		-0.0031139516542407	-0.00496317195638925	0.980929623323678			0.4	3	1	6	0.758620689655172	1963	0	1	5.5			-0.00978002905363962	0.00734397425575839	-0.0124534610712865	-0.004963171956389244		0.00252844635335858	-0.00498754151103897	-0.014354313451683	1	1	-0.0018492203021485496
2424	2424		0.5	0	0	0.5	1	0.5	0.5	0.5	0.5	1	0.5	0	0	0	1	0.5	0.5	0.5							0	1	0.2	2	0.862068965517241	1957	1	2	8											0	0	
2425	2425		0	0	0	0	1	1	0.5	1	1	1	1	1	1	1	1	1	0.5	0							0.4	3	0.8	5	0.46551724137931	1980	1	2	12											0	0	
2428	2428		1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0		-0.0175879282586477	-0.00319902456627859	-0.556570151588894			0.2	2	1	6	0.793103448275862	1961	0	1	5			0.0037313476128582	-0.00962471337420956	-0.00370370793748442	-0.0031990245662785934		-0.00567645800480521	-0.0133208439756607	-0.0094429408002823	1	1	0.01438890369236911
2432	2432		1	0	0	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1							1	6	0.8	5	0.637931034482759	1970	1	2	14											0	0	
