article.type,cue.memory.cutoff,cue.memory.policy,cue.memory.total.recipients,education,gender,gender.original,initial.like,ncog1,ncog3,ncog4,ncog5,ncog6,ncog7,state,year.of.birth,cue.condition,policy,policy.size,female,male,age,age.legit,educ.low,Northeast,North.Central,South,West,region,time.on.article,PID.pre
con_large_nocue,"about $1,300 a month",expand,"about 100,000",some college,female,female,neither approve nor disapprove,no preference,a moderate amount,no preference,neither like nor dislike,neither like nor dislike,relief and satisfaction to the same degree,TX,1971,no_cue,reduce,large,TRUE,FALSE,39,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,144,Rep
lib_large_Demopp,"about $1,600 a month",expand,"about 100,000",B.A.,female,female,approve slightly,slightly prefer complex problems,a moderate amount,"slightly prefer big, long-term projects",like a little,like a little,slightly more relieved than satisfied,WA,1983,Dem_opp,expand,large,TRUE,FALSE,27,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,336,Rep
con_large_nocue,"about $1,000 a month",reduce,"about 100,000",12th,female,female,disapprove somewhat,greatly prefer simple problems,a little,"greatly prefer small, daily projects",dislike somewhat,dislike a little,much more relieved than satisfied,AL,1971,no_cue,reduce,large,TRUE,FALSE,39,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,South,103,Rep
lib_slight_Demopp,"about $2,200 a month",expand,"about 100,000",NA,female,female,disapprove strongly,somewhat prefer complex problems,a great deal,no preference,like somewhat,like somewhat,much more satisfied than relieved,FL,1940,Dem_opp,expand,small,TRUE,FALSE,70,TRUE,NA,FALSE,FALSE,TRUE,FALSE,South,353,Rep
lib_slight_Demopp,"about $2,200 a month",neither,"about 50,000",B.A.,male,Male,approve slightly,somewhat prefer complex problems,a lot,"somewhat prefer big, long-term projects",dislike somewhat,like a little,somewhat more satisfied than relieved,OR,1981,Dem_opp,expand,small,FALSE,TRUE,29,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,57,Rep
lib_slight_nocue,"about $2,200 a month",expand,"about 500,000",some college,male,Male,approve slightly,slightly prefer simple problems,a lot,"slightly prefer small, daily projects",dislike somewhat,like a little,slightly more satisfied than relieved,NC,1952,no_cue,expand,small,FALSE,TRUE,58,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,115,Rep
con_slight_Demopp,"about $1,300 a month",neither,about 1 million,B.A.,female,female,approve slightly,slightly prefer complex problems,a moderate amount,no preference,like a little,like a little,slightly more satisfied than relieved,AZ,1953,Dem_opp,reduce,small,TRUE,FALSE,57,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,348,Rep
con_slight_nocue,"about $1,000 a month",expand,"about 100,000",some college,male,Male,disapprove slightly,slightly prefer simple problems,a little,no preference,dislike a little,neither like nor dislike,slightly more satisfied than relieved,CO,1951,no_cue,reduce,small,FALSE,TRUE,59,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,47,Dem
con_slight_nocue,"about $1,300 a month",reduce,"about 50,000",some college,female,f,approve slightly,slightly prefer simple problems,a moderate amount,"slightly prefer small, daily projects",dislike a little,like a little,slightly more relieved than satisfied,MT,1946,no_cue,reduce,small,TRUE,FALSE,64,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,123,Rep
lib_slight_nocue,"about $1,600 a month",neither,"about 100,000",B.A.,female,female,disapprove somewhat,somewhat prefer simple problems,a great deal,no preference,neither like nor dislike,like somewhat,relief and satisfaction to the same degree,OH,1942,no_cue,expand,small,TRUE,FALSE,68,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,North Central,172,Rep
con_slight_Demopp,"about $1,300 a month",reduce,"about 50,000",NA,male,male,approve strongly,somewhat prefer complex problems,a lot,"somewhat prefer big, long-term projects",like somewhat,like a little,somewhat more satisfied than relieved,FL,1951,Dem_opp,reduce,small,FALSE,TRUE,59,TRUE,NA,FALSE,FALSE,TRUE,FALSE,South,287,Rep
lib_large_nocue,"about $2,200 a month",expand,about 1 million,NA,female,Female,approve somewhat,somewhat prefer complex problems,a lot,no preference,like somewhat,like a lot,much more satisfied than relieved,AZ,1973,no_cue,expand,large,TRUE,FALSE,37,TRUE,NA,FALSE,FALSE,FALSE,TRUE,West,103,Rep
con_large_nocue,"about $1,300 a month",reduce,"about 500,000",NA,male,Male,disapprove slightly,slightly prefer simple problems,a lot,no preference,dislike somewhat,dislike somewhat,relief and satisfaction to the same degree,IN,1970,no_cue,reduce,large,FALSE,TRUE,40,TRUE,NA,FALSE,TRUE,FALSE,FALSE,North Central,70,Dem
con_slight_Demopp,"about $1,000 a month",neither,about 1 million,NA,male,male,disapprove slightly,greatly prefer simple problems,a moderate amount,no preference,neither like nor dislike,like a little,much more satisfied than relieved,DE,1947,Dem_opp,reduce,small,FALSE,TRUE,63,TRUE,NA,FALSE,FALSE,TRUE,FALSE,South,158,Dem
con_large_nocue,"about $1,300 a month",reduce,"about 100,000",B.A.,male,male,neither approve nor disapprove,somewhat prefer complex problems,a lot,"slightly prefer big, long-term projects",like somewhat,like a little,slightly more relieved than satisfied,AZ,1985,no_cue,reduce,large,FALSE,TRUE,25,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,48,Rep
lib_large_nocue,"about $2,200 a month",expand,"about 100,000","M.B.A., M.D., or J.D.",male,Male,approve slightly,somewhat prefer complex problems,a great deal,no preference,dislike a little,like a lot,somewhat more satisfied than relieved,NC,1937,no_cue,expand,large,FALSE,TRUE,73,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,136,Rep
con_slight_nocue,"about $1,300 a month",reduce,"about 50,000",NA,female,female,approve strongly,somewhat prefer complex problems,a lot,"somewhat prefer big, long-term projects",like somewhat,like somewhat,relief and satisfaction to the same degree,ND,1971,no_cue,reduce,small,TRUE,FALSE,39,TRUE,NA,FALSE,TRUE,FALSE,FALSE,North Central,154,Rep
con_slight_nocue,"about $1,300 a month",reduce,"about 500,000",B.A.,female,Female,disapprove somewhat,somewhat prefer complex problems,a moderate amount,"somewhat prefer big, long-term projects",dislike a little,like somewhat,somewhat more satisfied than relieved,OH,1954,no_cue,reduce,small,TRUE,FALSE,56,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,North Central,221,Rep
lib_large_nocue,"about $1,000 a month",expand,"about 100,000",B.A.,male,male,disapprove slightly,slightly prefer complex problems,a lot,"somewhat prefer big, long-term projects",dislike somewhat,dislike a little,relief and satisfaction to the same degree,NY,1988,no_cue,expand,large,FALSE,TRUE,22,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Northeast,32,Dem
con_slight_nocue,"about $1,300 a month",reduce,"about 50,000",8th,male,m,disapprove somewhat,no preference,a moderate amount,"slightly prefer big, long-term projects",neither like nor dislike,neither like nor dislike,somewhat more satisfied than relieved,NV,1957,no_cue,reduce,small,FALSE,TRUE,53,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,West,138,Rep
con_large_nocue,about $500 a month,reduce,"about 100,000",12th,female,Female,disapprove strongly,somewhat prefer complex problems,a great deal,"slightly prefer big, long-term projects",like a lot,like somewhat,somewhat more satisfied than relieved,MN,1956,no_cue,reduce,large,TRUE,FALSE,54,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,North Central,277,Rep
con_slight_Demopp,about $500 a month,neither,"about 10,000",some college,male,male,neither approve nor disapprove,no preference,a lot,no preference,neither like nor dislike,like somewhat,relief and satisfaction to the same degree,AL,1979,Dem_opp,reduce,small,FALSE,TRUE,31,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,27,Rep
lib_large_nocue,"about $2,200 a month",expand,"about 100,000",B.A.,male,Male,approve somewhat,no preference,a great deal,"somewhat prefer big, long-term projects",like a little,like a lot,somewhat more satisfied than relieved,MD,1937,no_cue,expand,large,FALSE,TRUE,73,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,168,Rep
lib_slight_Demopp,"about $1,300 a month",expand,about 1 million,some college,male,male,approve somewhat,somewhat prefer complex problems,a great deal,"somewhat prefer big, long-term projects",neither like nor dislike,like a lot,relief and satisfaction to the same degree,ME,1948,Dem_opp,expand,small,FALSE,TRUE,62,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Northeast,286,Rep
lib_slight_nocue,"about $1,600 a month",expand,"about 500,000",M.A.,female,female,disapprove slightly,slightly prefer complex problems,a lot,"somewhat prefer big, long-term projects",neither like nor dislike,neither like nor dislike,slightly more satisfied than relieved,MN,1954,no_cue,expand,small,TRUE,FALSE,56,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,North Central,353,Rep
lib_large_Demopp,"about $2,200 a month",expand,"about 10,000",some college,male,male,approve slightly,no preference,a moderate amount,"slightly prefer small, daily projects",like a little,like a little,slightly more satisfied than relieved,CA,1961,Dem_opp,expand,large,FALSE,TRUE,49,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,173,Dem
lib_slight_nocue,"about $1,600 a month",expand,"about 500,000",12th,female,Female,disapprove somewhat,no preference,a moderate amount,no preference,neither like nor dislike,like a little,relief and satisfaction to the same degree,SD,1950,no_cue,expand,small,TRUE,FALSE,60,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,North Central,308,Rep
