article.type,cue.memory.cutoff,cue.memory.policy,cue.memory.total.recipients,education,gender,gender.original,initial.like,ncog1,ncog3,ncog4,ncog5,ncog6,ncog7,state,year.of.birth,cue.condition,policy,policy.size,female,male,age,age.legit,educ.low,Northeast,North.Central,South,West,region,time.on.article,PID.pre
con_large_Demopp,"about $1,300 a month",expand,"about 100,000",12th,female,female,approve slightly,slightly prefer complex problems,a lot,"somewhat prefer big, long-term projects",like a little,neither like nor dislike,slightly more satisfied than relieved,VA,1991,Dem_opp,reduce,large,TRUE,FALSE,19,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,South,11,Rep
lib_slight_Demopp,"about $1,300 a month",expand,"about 50,000",M.A.,male,Male,disapprove somewhat,slightly prefer complex problems,a great deal,"slightly prefer big, long-term projects",like a little,like a little,slightly more relieved than satisfied,FL,1986,Dem_opp,expand,small,FALSE,TRUE,24,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,82,Dem
con_slight_Demopp,"about $1,000 a month",neither,"about 100,000",B.A.,female,female,approve slightly,no preference,a lot,no preference,neither like nor dislike,like a little,somewhat more satisfied than relieved,IL,1941,Dem_opp,reduce,small,TRUE,FALSE,69,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,North Central,148,Rep
con_slight_Demopp,"about $1,300 a month",reduce,about 1 million,12th,female,Female,disapprove slightly,slightly prefer simple problems,a little,"slightly prefer big, long-term projects",neither like nor dislike,dislike a little,relief and satisfaction to the same degree,OH,1946,Dem_opp,reduce,small,TRUE,FALSE,64,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,North Central,179,Rep
con_large_nocue,about $500 a month,reduce,NA,some college,female,female,disapprove strongly,slightly prefer simple problems,a moderate amount,no preference,neither like nor dislike,neither like nor dislike,relief and satisfaction to the same degree,ND,1961,no_cue,reduce,large,TRUE,FALSE,49,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,North Central,98,Rep
con_large_nocue,about $500 a month,reduce,NA,B.A.,male,male,neither approve nor disapprove,no preference,a moderate amount,"greatly prefer small, daily projects",neither like nor dislike,neither like nor dislike,somewhat more relieved than satisfied,NY,1935,no_cue,reduce,large,FALSE,TRUE,75,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Northeast,117,Rep
lib_large_nocue,"about $2,200 a month",expand,"about 100,000",12th,female,female,approve somewhat,no preference,a lot,no preference,neither like nor dislike,like somewhat,somewhat more satisfied than relieved,OR,1940,no_cue,expand,large,TRUE,FALSE,70,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,West,153,Dem
con_slight_nocue,"about $1,300 a month",expand,"about 100,000",M.A.,male,Male,disapprove slightly,somewhat prefer complex problems,a great deal,"slightly prefer big, long-term projects",like somewhat,like a lot,somewhat more satisfied than relieved,NC,1949,no_cue,reduce,small,FALSE,TRUE,61,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,74,Dem
lib_slight_nocue,"about $1,600 a month",expand,"about 10,000",B.A.,female,female,approve slightly,slightly prefer simple problems,a little,"slightly prefer small, daily projects",dislike a little,neither like nor dislike,somewhat more satisfied than relieved,WI,1985,no_cue,expand,small,TRUE,FALSE,25,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,North Central,166,Dem
lib_slight_nocue,"about $1,300 a month",expand,"about 500,000",some college,female,female,disapprove slightly,slightly prefer simple problems,a moderate amount,"slightly prefer small, daily projects",like somewhat,dislike a little,somewhat more relieved than satisfied,AZ,1963,no_cue,expand,small,TRUE,FALSE,47,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,274,Rep
con_large_nocue,"about $1,000 a month",expand,"about 100,000",NA,female,Female,approve slightly,greatly prefer simple problems,a little,"greatly prefer big, long-term projects",dislike a lot,dislike a lot,much more relieved than satisfied,IL,1986,no_cue,reduce,large,TRUE,FALSE,24,TRUE,NA,FALSE,TRUE,FALSE,FALSE,North Central,8,Dem
con_slight_nocue,"about $1,300 a month",neither,about 1 million,12th,female,female,approve slightly,somewhat prefer simple problems,a little,"slightly prefer small, daily projects",dislike a little,dislike a little,relief and satisfaction to the same degree,NY,1945,no_cue,reduce,small,TRUE,FALSE,65,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Northeast,283,Dem
con_slight_nocue,"about $1,300 a month",reduce,about 1 million,Ph.D.,male,Male,disapprove strongly,slightly prefer complex problems,a great deal,"slightly prefer small, daily projects",like a little,like somewhat,relief and satisfaction to the same degree,CA,1939,no_cue,reduce,small,FALSE,TRUE,71,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,117,Dem
lib_slight_Demopp,"about $1,300 a month",reduce,"about 50,000",some college,male,Male,disapprove strongly,greatly prefer complex problems,a great deal,"somewhat prefer big, long-term projects",like a lot,like a lot,much more satisfied than relieved,MI,1985,Dem_opp,expand,small,FALSE,TRUE,25,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,North Central,24,Dem
con_slight_nocue,"about $1,300 a month",reduce,"about 100,000",B.A.,female,Female,disapprove strongly,somewhat prefer simple problems,a lot,"slightly prefer small, daily projects",dislike a little,like somewhat,somewhat more relieved than satisfied,MN,1949,no_cue,reduce,small,TRUE,FALSE,61,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,North Central,173,Dem
con_slight_Demopp,"about $1,000 a month",reduce,"about 500,000",B.A.,male,Male,disapprove slightly,greatly prefer complex problems,a great deal,"slightly prefer big, long-term projects",like somewhat,like somewhat,somewhat more satisfied than relieved,IN,1973,Dem_opp,reduce,small,FALSE,TRUE,37,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,North Central,183,Rep
con_large_nocue,"about $1,600 a month",neither,about 1 million,"M.B.A., M.D., or J.D.",female,female,disapprove strongly,slightly prefer simple problems,a moderate amount,"greatly prefer small, daily projects",dislike a lot,neither like nor dislike,somewhat more relieved than satisfied,NY,1958,no_cue,reduce,large,TRUE,FALSE,52,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Northeast,152,Dem
con_slight_nocue,"about $1,300 a month",reduce,"about 50,000",B.A.,female,female,approve slightly,no preference,a lot,"somewhat prefer small, daily projects",like a little,like a little,slightly more satisfied than relieved,VA,1987,no_cue,reduce,small,TRUE,FALSE,23,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,119,Dem
con_slight_nocue,"about $1,300 a month",reduce,"about 50,000",NA,female,female,disapprove slightly,slightly prefer simple problems,a moderate amount,"somewhat prefer big, long-term projects",like a little,dislike a little,relief and satisfaction to the same degree,VA,1988,no_cue,reduce,small,TRUE,FALSE,22,TRUE,NA,FALSE,FALSE,TRUE,FALSE,South,312,Dem
con_slight_Demopp,"about $1,000 a month",reduce,"about 50,000",some college,female,female,disapprove strongly,slightly prefer complex problems,a great deal,"slightly prefer small, daily projects",like a little,like a little,relief and satisfaction to the same degree,FL,1988,Dem_opp,reduce,small,TRUE,FALSE,22,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,85,Dem
con_slight_Demopp,"about $1,300 a month",neither,about 1 million,some college,male,male,approve slightly,greatly prefer simple problems,a little,"greatly prefer small, daily projects",dislike a lot,dislike a lot,slightly more satisfied than relieved,PA,1951,Dem_opp,reduce,small,FALSE,TRUE,59,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Northeast,220,Rep
con_large_nocue,about $500 a month,reduce,"about 500,000",B.A.,female,female,disapprove strongly,no preference,a great deal,"slightly prefer big, long-term projects",like somewhat,like a lot,somewhat more satisfied than relieved,VA,1945,no_cue,reduce,large,TRUE,FALSE,65,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,197,Rep
con_slight_Demopp,"about $1,300 a month",reduce,"about 100,000","M.B.A., M.D., or J.D.",female,F,disapprove somewhat,no preference,a moderate amount,no preference,neither like nor dislike,neither like nor dislike,somewhat more satisfied than relieved,CA,1926,Dem_opp,reduce,small,TRUE,FALSE,84,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,250,Rep
lib_slight_nocue,"about $1,600 a month",neither,about 1 million,some college,female,female,neither approve nor disapprove,somewhat prefer simple problems,a moderate amount,"somewhat prefer small, daily projects",dislike somewhat,dislike somewhat,relief and satisfaction to the same degree,OK,1956,no_cue,expand,small,TRUE,FALSE,54,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,192,Dem
lib_slight_Demopp,"about $1,600 a month",expand,about 1 million,some college,female,Female,approve somewhat,somewhat prefer simple problems,a moderate amount,"greatly prefer small, daily projects",dislike somewhat,dislike somewhat,relief and satisfaction to the same degree,CA,1939,Dem_opp,expand,small,TRUE,FALSE,71,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,378,Dem
con_slight_nocue,"about $1,000 a month",reduce,"about 100,000",some college,male,Male,approve strongly,no preference,a lot,"slightly prefer big, long-term projects",like a lot,like somewhat,slightly more satisfied than relieved,IL,1989,no_cue,reduce,small,FALSE,TRUE,21,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,North Central,206,Rep
con_slight_nocue,"about $1,300 a month",reduce,about 1 million,NA,male,male,disapprove somewhat,slightly prefer simple problems,a moderate amount,"slightly prefer small, daily projects",dislike a little,like a little,somewhat more relieved than satisfied,OH,1961,no_cue,reduce,small,FALSE,TRUE,49,TRUE,NA,FALSE,TRUE,FALSE,FALSE,North Central,112,Rep
lib_slight_nocue,"about $2,200 a month",expand,about 1 million,12th,male,Male,neither approve nor disapprove,somewhat prefer complex problems,a lot,no preference,dislike a little,like a lot,somewhat more satisfied than relieved,IN,1969,no_cue,expand,small,FALSE,TRUE,41,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,North Central,14,Dem
lib_large_Demopp,"about $2,200 a month",expand,"about 500,000",B.A.,female,female,disapprove somewhat,slightly prefer complex problems,a lot,"slightly prefer small, daily projects",like somewhat,like a lot,slightly more satisfied than relieved,NC,1947,Dem_opp,expand,large,TRUE,FALSE,63,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,192,Dem
con_slight_nocue,"about $1,300 a month",reduce,"about 10,000",some college,male,male,approve slightly,slightly prefer simple problems,a great deal,"somewhat prefer big, long-term projects",like a lot,like a lot,much more satisfied than relieved,FL,1931,no_cue,reduce,small,FALSE,TRUE,79,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,216,Rep
lib_slight_Demopp,"about $1,600 a month",expand,"about 100,000",B.A.,male,m,approve somewhat,somewhat prefer complex problems,a great deal,"slightly prefer small, daily projects",dislike a little,like somewhat,relief and satisfaction to the same degree,AR,1960,Dem_opp,expand,small,FALSE,TRUE,50,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,118,Rep
lib_slight_Demopp,"about $1,600 a month",expand,"about 10,000",some college,male,Male,approve slightly,greatly prefer complex problems,a moderate amount,no preference,like a lot,like a lot,slightly more satisfied than relieved,NJ,1943,Dem_opp,expand,small,FALSE,TRUE,67,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Northeast,805,Dem
lib_large_nocue,"about $1,300 a month",expand,about 1 million,12th,female,female,approve slightly,greatly prefer simple problems,a moderate amount,"greatly prefer small, daily projects",dislike a lot,dislike a lot,relief and satisfaction to the same degree,LA,1955,no_cue,expand,large,TRUE,FALSE,55,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,South,264,Dem
lib_slight_nocue,"about $1,600 a month",expand,"about 500,000",12th,male,male,approve slightly,slightly prefer simple problems,a lot,"somewhat prefer small, daily projects",dislike a little,like a little,somewhat more satisfied than relieved,AZ,1986,no_cue,expand,small,FALSE,TRUE,24,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,West,221,Dem
con_slight_Demopp,"about $1,000 a month",reduce,about 1 million,B.A.,female,female,approve slightly,no preference,a moderate amount,"slightly prefer small, daily projects",neither like nor dislike,neither like nor dislike,relief and satisfaction to the same degree,NC,1986,Dem_opp,reduce,small,TRUE,FALSE,24,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,291,Rep
lib_slight_Demopp,"about $2,200 a month",expand,"about 500,000",M.A.,female,female,neither approve nor disapprove,slightly prefer complex problems,a lot,no preference,like somewhat,like somewhat,slightly more satisfied than relieved,NC,1944,Dem_opp,expand,small,TRUE,FALSE,66,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,321,Dem
con_slight_nocue,"about $1,000 a month",expand,"about 500,000",12th,female,female,disapprove slightly,slightly prefer simple problems,a lot,no preference,like a little,neither like nor dislike,slightly more satisfied than relieved,CO,1991,no_cue,reduce,small,TRUE,FALSE,19,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,West,61,Dem
lib_large_nocue,"about $1,600 a month",expand,"about 10,000",12th,male,mail,approve strongly,no preference,a moderate amount,"greatly prefer small, daily projects",neither like nor dislike,like a little,much more relieved than satisfied,OH,1946,no_cue,expand,large,FALSE,TRUE,64,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,North Central,685,Dem
lib_slight_nocue,"about $2,200 a month",neither,"about 100,000",NA,female,f,disapprove slightly,slightly prefer complex problems,a moderate amount,"slightly prefer small, daily projects",dislike a little,dislike a little,relief and satisfaction to the same degree,TN,1968,no_cue,expand,small,TRUE,FALSE,42,TRUE,NA,FALSE,FALSE,TRUE,FALSE,South,42,Rep
lib_slight_Demopp,"about $1,300 a month",expand,"about 100,000",some college,female,Female,neither approve nor disapprove,greatly prefer simple problems,a moderate amount,"greatly prefer small, daily projects",dislike a little,dislike a lot,somewhat more relieved than satisfied,OR,1949,Dem_opp,expand,small,TRUE,FALSE,61,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,245,Dem
con_large_nocue,about $500 a month,neither,about 1 million,NA,male,male,disapprove somewhat,slightly prefer complex problems,a lot,"slightly prefer big, long-term projects",neither like nor dislike,neither like nor dislike,slightly more satisfied than relieved,MI,1942,no_cue,reduce,large,FALSE,TRUE,68,TRUE,NA,FALSE,TRUE,FALSE,FALSE,North Central,380,Dem
lib_slight_nocue,"about $1,600 a month",expand,"about 100,000",NA,female,female,neither approve nor disapprove,no preference,a moderate amount,"slightly prefer big, long-term projects",neither like nor dislike,like somewhat,relief and satisfaction to the same degree,NY,1956,no_cue,expand,small,TRUE,FALSE,54,TRUE,NA,TRUE,FALSE,FALSE,FALSE,Northeast,170,Dem
lib_slight_nocue,"about $1,000 a month",reduce,"about 10,000",some college,male,male,disapprove somewhat,greatly prefer complex problems,a great deal,"greatly prefer big, long-term projects",dislike a lot,like a lot,somewhat more satisfied than relieved,CA,1985,no_cue,expand,small,FALSE,TRUE,25,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,93,Dem
lib_slight_nocue,"about $1,600 a month",expand,"about 50,000",12th,male,male,approve strongly,greatly prefer simple problems,a lot,"greatly prefer big, long-term projects",like a little,like a lot,much more relieved than satisfied,TX,1990,no_cue,expand,small,FALSE,TRUE,20,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,South,212,Dem
lib_slight_nocue,"about $1,600 a month",expand,about 1 million,some college,female,female,approve slightly,slightly prefer simple problems,a lot,no preference,neither like nor dislike,neither like nor dislike,relief and satisfaction to the same degree,NV,1985,no_cue,expand,small,TRUE,FALSE,25,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,176,Dem
con_large_nocue,"about $2,200 a month",neither,about 1 million,NA,female,F,approve strongly,slightly prefer simple problems,a moderate amount,"slightly prefer small, daily projects",dislike a little,neither like nor dislike,slightly more relieved than satisfied,CA,1953,no_cue,reduce,large,TRUE,FALSE,57,TRUE,NA,FALSE,FALSE,FALSE,TRUE,West,312,Rep
con_large_Demopp,about $500 a month,reduce,"about 50,000",NA,male,Male,disapprove strongly,greatly prefer simple problems,a moderate amount,"greatly prefer small, daily projects",dislike a little,dislike a little,much more relieved than satisfied,VA,1952,Dem_opp,reduce,large,FALSE,TRUE,58,TRUE,NA,FALSE,FALSE,TRUE,FALSE,South,245,Rep
lib_slight_Demopp,"about $2,200 a month",expand,"about 100,000",NA,female,femail,disapprove slightly,slightly prefer simple problems,a lot,"slightly prefer small, daily projects",dislike a little,dislike a little,relief and satisfaction to the same degree,PA,1954,Dem_opp,expand,small,TRUE,FALSE,56,TRUE,NA,TRUE,FALSE,FALSE,FALSE,Northeast,148,Dem
con_slight_nocue,"about $1,600 a month",reduce,"about 100,000",B.A.,female,female,disapprove strongly,greatly prefer simple problems,a great deal,"greatly prefer small, daily projects",like a lot,like a little,relief and satisfaction to the same degree,MA,1952,no_cue,reduce,small,TRUE,FALSE,58,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Northeast,35,Dem
lib_slight_Demopp,"about $1,600 a month",expand,"about 10,000",B.A.,female,Female,approve slightly,slightly prefer simple problems,a lot,"somewhat prefer small, daily projects",dislike somewhat,like somewhat,slightly more relieved than satisfied,IA,1972,Dem_opp,expand,small,TRUE,FALSE,38,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,North Central,95,Dem
lib_slight_nocue,"about $1,600 a month",reduce,"about 500,000",Ph.D.,male,male,disapprove strongly,no preference,a great deal,"slightly prefer big, long-term projects",neither like nor dislike,neither like nor dislike,somewhat more satisfied than relieved,GA,1921,no_cue,expand,small,FALSE,TRUE,89,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,161,Rep
lib_slight_nocue,"about $1,600 a month",neither,"about 10,000",some college,female,Female,approve slightly,somewhat prefer complex problems,a moderate amount,"somewhat prefer big, long-term projects",neither like nor dislike,like somewhat,somewhat more satisfied than relieved,NJ,1986,no_cue,expand,small,TRUE,FALSE,24,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Northeast,95,Dem
con_large_nocue,"about $1,000 a month",reduce,"about 10,000",B.A.,female,female,disapprove slightly,slightly prefer complex problems,a great deal,"slightly prefer small, daily projects",like somewhat,like a lot,somewhat more satisfied than relieved,MO,1963,no_cue,reduce,large,TRUE,FALSE,47,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,North Central,32,Dem
con_large_Demopp,about $500 a month,neither,"about 500,000",B.A.,male,Male,approve slightly,greatly prefer complex problems,a great deal,"somewhat prefer big, long-term projects",like somewhat,like a lot,somewhat more satisfied than relieved,ND,1961,Dem_opp,reduce,large,FALSE,TRUE,49,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,North Central,205,Rep
con_slight_Demopp,"about $1,300 a month",reduce,"about 500,000",some college,male,male,disapprove strongly,somewhat prefer complex problems,a lot,no preference,like somewhat,like a lot,relief and satisfaction to the same degree,CA,1960,Dem_opp,reduce,small,FALSE,TRUE,50,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,97,Dem
lib_large_nocue,"about $2,200 a month",expand,"about 100,000",NA,male,male,disapprove strongly,no preference,a moderate amount,no preference,dislike a little,dislike a little,somewhat more relieved than satisfied,DE,1942,no_cue,expand,large,FALSE,TRUE,68,TRUE,NA,FALSE,FALSE,TRUE,FALSE,South,57,Rep
con_slight_nocue,"about $1,000 a month",reduce,"about 100,000",some college,male,male,neither approve nor disapprove,no preference,a great deal,no preference,neither like nor dislike,like a lot,relief and satisfaction to the same degree,TX,1953,no_cue,reduce,small,FALSE,TRUE,57,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,197,Rep
con_slight_nocue,"about $1,300 a month",reduce,"about 50,000",NA,female,female,disapprove slightly,somewhat prefer complex problems,a great deal,"somewhat prefer big, long-term projects",like a lot,like somewhat,somewhat more satisfied than relieved,TN,1968,no_cue,reduce,small,TRUE,FALSE,42,TRUE,NA,FALSE,FALSE,TRUE,FALSE,South,239,Dem
con_slight_nocue,"about $1,600 a month",reduce,about 1 million,12th,male,male,approve slightly,somewhat prefer complex problems,a great deal,"somewhat prefer big, long-term projects",neither like nor dislike,like a lot,much more satisfied than relieved,AL,1943,no_cue,reduce,small,FALSE,TRUE,67,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,South,36,Dem
lib_slight_nocue,"about $1,600 a month",neither,"about 50,000",NA,female,female,disapprove strongly,slightly prefer complex problems,a moderate amount,"slightly prefer small, daily projects",dislike a lot,neither like nor dislike,slightly more satisfied than relieved,WA,1938,no_cue,expand,small,TRUE,FALSE,72,TRUE,NA,FALSE,FALSE,FALSE,TRUE,West,219,Rep
con_slight_nocue,"about $1,300 a month",reduce,"about 100,000",some college,male,male,neither approve nor disapprove,no preference,a moderate amount,no preference,neither like nor dislike,neither like nor dislike,relief and satisfaction to the same degree,NC,1957,no_cue,reduce,small,FALSE,TRUE,53,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,189,Rep
lib_slight_nocue,"about $2,200 a month",expand,"about 500,000",B.A.,female,female,approve somewhat,somewhat prefer complex problems,a great deal,no preference,like somewhat,like somewhat,somewhat more satisfied than relieved,CA,1937,no_cue,expand,small,TRUE,FALSE,73,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,192,Dem
lib_large_Demopp,"about $2,200 a month",expand,"about 500,000","M.B.A., M.D., or J.D.",female,female,approve strongly,greatly prefer complex problems,a lot,"slightly prefer big, long-term projects",like a little,like a lot,much more satisfied than relieved,NY,1982,Dem_opp,expand,large,TRUE,FALSE,28,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Northeast,117,Dem
con_slight_Demopp,"about $1,300 a month",reduce,about 1 million,other advanced degree,female,female,disapprove somewhat,greatly prefer complex problems,a lot,no preference,like a little,like somewhat,somewhat more satisfied than relieved,AL,1981,Dem_opp,reduce,small,TRUE,FALSE,29,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,293,Rep
lib_slight_nocue,"about $1,300 a month",neither,"about 100,000",12th,female,female,disapprove slightly,somewhat prefer complex problems,a great deal,"somewhat prefer big, long-term projects",like somewhat,like a lot,slightly more satisfied than relieved,MI,1989,no_cue,expand,small,TRUE,FALSE,21,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,North Central,121,Rep
con_slight_nocue,"about $1,000 a month",neither,"about 100,000",NA,male,male,approve slightly,slightly prefer complex problems,a moderate amount,"slightly prefer small, daily projects",neither like nor dislike,dislike a little,slightly more relieved than satisfied,CA,1976,no_cue,reduce,small,FALSE,TRUE,34,TRUE,NA,FALSE,FALSE,FALSE,TRUE,West,46,Dem
lib_slight_nocue,"about $1,300 a month",neither,"about 50,000",B.A.,female,f,neither approve nor disapprove,slightly prefer complex problems,a moderate amount,no preference,dislike a little,like a little,relief and satisfaction to the same degree,CO,1948,no_cue,expand,small,TRUE,FALSE,62,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,75,Dem
lib_slight_Demopp,"about $1,300 a month",expand,"about 100,000",M.A.,female,Female,disapprove slightly,slightly prefer complex problems,a moderate amount,"slightly prefer big, long-term projects",like somewhat,like somewhat,relief and satisfaction to the same degree,GA,1978,Dem_opp,expand,small,TRUE,FALSE,32,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,401,Dem
lib_slight_Demopp,"about $1,600 a month",expand,"about 50,000",12th,female,female,approve strongly,slightly prefer simple problems,a lot,"slightly prefer big, long-term projects",like a little,like a lot,somewhat more satisfied than relieved,OR,1983,Dem_opp,expand,small,TRUE,FALSE,27,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,West,332,Rep
con_slight_nocue,"about $1,600 a month",reduce,"about 50,000",some college,female,Female,neither approve nor disapprove,slightly prefer simple problems,none,no preference,dislike a lot,dislike somewhat,much more relieved than satisfied,IL,1987,no_cue,reduce,small,TRUE,FALSE,23,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,North Central,27,Dem
con_slight_Demopp,"about $1,000 a month",reduce,about 1 million,B.A.,female,Female,approve slightly,no preference,a moderate amount,no preference,like a little,like a little,somewhat more satisfied than relieved,CA,1960,Dem_opp,reduce,small,TRUE,FALSE,50,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,138,Dem
con_slight_nocue,"about $2,200 a month",reduce,"about 100,000",some college,male,male,disapprove strongly,somewhat prefer complex problems,a great deal,"slightly prefer big, long-term projects",like a lot,like a lot,much more satisfied than relieved,AR,1952,no_cue,reduce,small,FALSE,TRUE,58,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,54,Rep
lib_large_Demopp,"about $2,200 a month",expand,about 1 million,"M.B.A., M.D., or J.D.",female,female,approve slightly,no preference,a little,no preference,dislike a lot,like a little,slightly more satisfied than relieved,TX,1936,Dem_opp,expand,large,TRUE,FALSE,74,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,292,Rep
lib_slight_Demopp,"about $1,600 a month",expand,about 1 million,B.A.,male,male,disapprove strongly,slightly prefer complex problems,a lot,"slightly prefer small, daily projects",dislike a little,like somewhat,much more satisfied than relieved,SC,1938,Dem_opp,expand,small,FALSE,TRUE,72,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,211,Rep
con_slight_nocue,"about $1,300 a month",reduce,about 1 million,NA,female,Female,disapprove strongly,somewhat prefer simple problems,a lot,no preference,neither like nor dislike,neither like nor dislike,relief and satisfaction to the same degree,FL,1956,no_cue,reduce,small,TRUE,FALSE,54,TRUE,NA,FALSE,FALSE,TRUE,FALSE,South,99,Dem
lib_slight_Demopp,"about $1,600 a month",neither,"about 50,000",12th,female,female,disapprove somewhat,slightly prefer simple problems,a lot,"slightly prefer small, daily projects",dislike a little,like a little,relief and satisfaction to the same degree,MO,1988,Dem_opp,expand,small,TRUE,FALSE,22,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,North Central,66,Dem
con_slight_nocue,"about $1,300 a month",reduce,"about 10,000",12th,male,male,disapprove strongly,somewhat prefer simple problems,a little,"somewhat prefer small, daily projects",dislike a little,dislike somewhat,somewhat more relieved than satisfied,GA,1947,no_cue,reduce,small,FALSE,TRUE,63,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,South,365,Rep
con_slight_nocue,"about $1,300 a month",reduce,"about 100,000",B.A.,female,Female,disapprove slightly,somewhat prefer complex problems,a lot,"somewhat prefer big, long-term projects",like a little,like a little,somewhat more satisfied than relieved,CA,1939,no_cue,reduce,small,TRUE,FALSE,71,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,130,Dem
con_slight_nocue,"about $1,300 a month",reduce,"about 10,000",some college,female,female,neither approve nor disapprove,greatly prefer simple problems,a little,"somewhat prefer small, daily projects",dislike somewhat,dislike a lot,much more relieved than satisfied,HI,1949,no_cue,reduce,small,TRUE,FALSE,61,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,293,Dem
lib_slight_nocue,"about $1,600 a month",expand,"about 10,000",NA,male,male,approve strongly,greatly prefer complex problems,a great deal,"slightly prefer big, long-term projects",like somewhat,like somewhat,somewhat more relieved than satisfied,MI,1962,no_cue,expand,small,FALSE,TRUE,48,TRUE,NA,FALSE,TRUE,FALSE,FALSE,North Central,469,Rep
con_slight_Demopp,"about $1,000 a month",reduce,"about 10,000",B.A.,male,Male,disapprove strongly,no preference,a moderate amount,"slightly prefer big, long-term projects",dislike somewhat,like somewhat,much more satisfied than relieved,LA,1960,Dem_opp,reduce,small,FALSE,TRUE,50,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,519,Dem
con_large_Demopp,"about $1,000 a month",neither,"about 100,000",B.A.,female,Female,neither approve nor disapprove,greatly prefer complex problems,a lot,no preference,like a lot,like a lot,relief and satisfaction to the same degree,CA,1937,Dem_opp,reduce,large,TRUE,FALSE,73,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,33,Dem
con_slight_Demopp,"about $1,600 a month",expand,"about 100,000",B.A.,female,Female,disapprove slightly,slightly prefer complex problems,a great deal,"slightly prefer small, daily projects",like somewhat,like somewhat,relief and satisfaction to the same degree,CA,1985,Dem_opp,reduce,small,TRUE,FALSE,25,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,56,Dem
