article.type,cue.memory.cutoff,cue.memory.policy,cue.memory.total.recipients,education,gender,gender.original,gk.Cheney,gk.Cheney.original,initial.like,ncog1,ncog3,ncog4,ncog5,ncog6,ncog7,state,year.of.birth,cue.condition,Demsupp,Demopp,female,male,age,age.legit,educ.low,Northeast,North.Central,South,West,region,PID.pre
lib_nocue,"about $1,500 a month",neither,"about 50,000",Associate's Degree,male,male,TRUE,Vice President,disapprove somewhat,slightly prefer simple problem,none,"slightly prefer big, long-term",dislike a lot,dislike somewhat,slightly more relieved than sa,CO,1987,nocue,FALSE,FALSE,FALSE,TRUE,21,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,Rep
lib_nocue,"about $2,000 a month",expand,"about 100,000",12th,female,female,TRUE,Vice President,approve slightly,slightly prefer simple problem,a moderate amount,"greatly prefer small, daily pr",dislike somewhat,dislike a little,somewhat more relieved than sa,NY,1969,nocue,FALSE,FALSE,TRUE,FALSE,39,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Northeast,Dem
con_Demopp,about $500 a month,reduce,"about 500,000",some college,female,female,TRUE,vp,disapprove somewhat,somewhat prefer complex proble,a moderate amount,"somewhat prefer big, long-term",dislike a little,like somewhat,somewhat more satisfied than r,AZ,1964,Demopp,FALSE,TRUE,TRUE,FALSE,44,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,Rep
lib_Demsupp,"about $2,000 a month",expand,"about 50,000",B.A.,female,Female,FALSE,NA,approve slightly,somewhat prefer simple problem,a little,no preference,dislike a lot,dislike somewhat,relief and satisfaction to the,IL,1978,Demsupp,TRUE,FALSE,TRUE,FALSE,30,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,North Central,Dem
con_nocue,about $500 a month,reduce,about 1 million,Associate's Degree,male,Male,TRUE,Vice President,disapprove somewhat,slightly prefer complex proble,a lot,"slightly prefer small, daily p",dislike a little,like a lot,slightly more satisfied than r,FL,1958,nocue,FALSE,FALSE,FALSE,TRUE,50,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,Rep
lib_Demsupp,"about $1,500 a month",expand,"about 500,000",B.A.,female,female,TRUE,VP,approve slightly,slightly prefer complex proble,a moderate amount,"slightly prefer small, daily p",like a little,like a little,somewhat more satisfied than r,NY,1985,Demsupp,TRUE,FALSE,TRUE,FALSE,23,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Northeast,Dem
lib_nocue,"about $2,500 a month",expand,"about 50,000",some college,female,female,TRUE,vice president,approve strongly,greatly prefer complex problem,a great deal,"slightly prefer big, long-term",like somewhat,like a lot,much more satisfied than relie,IL,1969,nocue,FALSE,FALSE,TRUE,FALSE,39,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,North Central,Dem
con_nocue,about $500 a month,reduce,"about 100,000",M.A.,female,female,FALSE,attorney general,disapprove strongly,no preference,a lot,no preference,like a little,like somewhat,relief and satisfaction to the,NY,1981,nocue,FALSE,FALSE,TRUE,FALSE,27,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Northeast,Dem
con_Demopp,about $500 a month,reduce,about 1 million,some college,female,f,TRUE,VP,disapprove strongly,somewhat prefer complex proble,a lot,no preference,neither like nor dislike,like somewhat,somewhat more satisfied than r,PA,1952,Demopp,FALSE,TRUE,TRUE,FALSE,56,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Northeast,Dem
lib_nocue,"about $2,000 a month",expand,"about 500,000",B.A.,female,female,FALSE,don t know,approve somewhat,slightly prefer complex proble,a great deal,no preference,neither like nor dislike,neither like nor dislike,relief and satisfaction to the,IL,1987,nocue,FALSE,FALSE,TRUE,FALSE,21,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,North Central,Rep
lib_Demopp,"about $2,500 a month",expand,"about 500,000",12th,female,female,TRUE,vice Pres,approve slightly,slightly prefer complex proble,a little,"somewhat prefer big, long-term",dislike a lot,like a little,somewhat more relieved than sa,KY,1968,Demopp,FALSE,TRUE,TRUE,FALSE,40,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,South,Rep
lib_Demsupp,"about $2,500 a month",neither,"about 100,000",some college,female,Female,FALSE,Republican ,disapprove slightly,slightly prefer simple problem,a moderate amount,"slightly prefer big, long-term",dislike somewhat,dislike a little,slightly more satisfied than r,WI,1989,Demsupp,TRUE,FALSE,TRUE,FALSE,19,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,North Central,Rep
con_nocue,about $500 a month,reduce,"about 500,000",M.A.,female,female,TRUE,Vice President,disapprove somewhat,slightly prefer simple problem,a little,"slightly prefer small, daily p",like somewhat,like somewhat,somewhat more satisfied than r,IA,1977,nocue,FALSE,FALSE,TRUE,FALSE,31,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,North Central,Rep
lib_nocue,"about $2,500 a month",expand,"about 100,000",some college,male,male,TRUE,vice president,approve somewhat,somewhat prefer complex proble,a great deal,"slightly prefer small, daily p",like somewhat,like a lot,much more satisfied than relie,WA,1969,nocue,FALSE,FALSE,FALSE,TRUE,39,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,Dem
lib_nocue,"about $2,500 a month",expand,"about 100,000",some college,female,female,TRUE,vice president,approve strongly,somewhat prefer complex proble,a lot,"somewhat prefer big, long-term",like somewhat,like somewhat,somewhat more satisfied than r,PA,1969,nocue,FALSE,FALSE,TRUE,FALSE,39,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Northeast,Dem
con_nocue,"about $1,000 a month",reduce,"about 500,000",M.A.,female,female,TRUE,Vice President ,approve somewhat,somewhat prefer complex proble,a great deal,"slightly prefer big, long-term",like a lot,like a lot,somewhat more satisfied than r,VA,1978,nocue,FALSE,FALSE,TRUE,FALSE,30,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,Rep
lib_Demsupp,"about $2,500 a month",expand,"about 100,000",12th,male,male,TRUE,vice ,approve slightly,somewhat prefer complex proble,a moderate amount,"slightly prefer small, daily p",like a little,like somewhat,somewhat more satisfied than r,ND,1963,Demsupp,TRUE,FALSE,FALSE,TRUE,45,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,North Central,Dem
con_Demsupp,"about $1,000 a month",reduce,"about 100,000",Associate's Degree,male,male,TRUE,vp,approve somewhat,slightly prefer simple problem,a lot,"greatly prefer small, daily pr",dislike a lot,dislike a little,much more relieved than satisf,WY,2038,Demsupp,TRUE,FALSE,FALSE,TRUE,-30,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,West,Rep
lib_Demsupp,"about $1,500 a month",expand,"about 100,000",Associate's Degree,male,Male,TRUE,VP,approve slightly,slightly prefer simple problem,a moderate amount,no preference,dislike a little,dislike a little,slightly more satisfied than r,OR,1963,Demsupp,TRUE,FALSE,FALSE,TRUE,45,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,Dem
con_nocue,about $500 a month,reduce,"about 500,000",some college,male,Male,TRUE,Vice President of the U.S.,disapprove slightly,no preference,a great deal,"slightly prefer small, daily p",like a little,like a little,somewhat more satisfied than r,PA,1954,nocue,FALSE,FALSE,FALSE,TRUE,54,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Northeast,Rep
lib_Demsupp,"about $2,000 a month",expand,"about 50,000",some college,female,female,TRUE,vice president,approve slightly,slightly prefer complex proble,a moderate amount,"slightly prefer small, daily p",neither like nor dislike,dislike a little,slightly more relieved than sa,MN,1967,Demsupp,TRUE,FALSE,TRUE,FALSE,41,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,North Central,Dem
con_Demopp,about $500 a month,neither,about 1 million,12th,male,Male,TRUE,Vice President ,approve strongly,no preference,a little,no preference,dislike a little,dislike a little,somewhat more relieved than sa,GA,1956,Demopp,FALSE,TRUE,FALSE,TRUE,52,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,South,Rep
con_Demsupp,about $500 a month,reduce,about 1 million,some college,male,Male,TRUE,Vice President of the United States of America,approve slightly,greatly prefer complex problem,a lot,no preference,like somewhat,like a lot,somewhat more satisfied than r,MI,1969,Demsupp,TRUE,FALSE,FALSE,TRUE,39,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,North Central,Dem
con_Demopp,"about $1,500 a month",reduce,"about 500,000",B.A.,male,male,FALSE,"V,P.",disapprove strongly,somewhat prefer complex proble,a lot,"somewhat prefer small, daily p",dislike a lot,like somewhat,somewhat more relieved than sa,NY,1954,Demopp,FALSE,TRUE,FALSE,TRUE,54,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Northeast,Dem
con_Demopp,about $500 a month,expand,"about 100,000",M.A.,male,male,TRUE,vice prez,approve slightly,slightly prefer complex proble,a lot,"slightly prefer big, long-term",dislike a little,like a little,somewhat more satisfied than r,NY,1960,Demopp,FALSE,TRUE,FALSE,TRUE,48,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Northeast,Dem
lib_Demsupp,"about $2,500 a month",neither,"about 100,000",some college,male,male,TRUE,vice president,disapprove somewhat,no preference,a moderate amount,"somewhat prefer big, long-term",neither like nor dislike,like somewhat,slightly more satisfied than r,OH,1957,Demsupp,TRUE,FALSE,FALSE,TRUE,51,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,North Central,Rep
con_Demopp,about $500 a month,reduce,"about 100,000",other advanced degree,male,man,TRUE,vice president,disapprove strongly,slightly prefer complex proble,a great deal,"slightly prefer big, long-term",dislike a lot,like somewhat,relief and satisfaction to the,KY,1972,Demopp,FALSE,TRUE,FALSE,TRUE,36,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,Dem
lib_nocue,"about $1,500 a month",neither,"about 50,000",some college,male,Male,TRUE,Vice President,neither approve nor disapprove,slightly prefer simple problem,a lot,no preference,like a little,like a little,relief and satisfaction to the,OH,1964,nocue,FALSE,FALSE,FALSE,TRUE,44,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,North Central,Rep
lib_Demopp,"about $2,500 a month",expand,"about 50,000","M.B.A., M.D., or J.D.",male,male,TRUE,VP,disapprove strongly,greatly prefer complex problem,a great deal,"somewhat prefer big, long-term",like somewhat,like a lot,much more satisfied than relie,IN,1965,Demopp,FALSE,TRUE,FALSE,TRUE,43,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,North Central,Rep
lib_Demsupp,about $500 a month,expand,"about 100,000",B.A.,male,Male,TRUE,Vice President,disapprove slightly,slightly prefer complex proble,a lot,"slightly prefer big, long-term",like a little,like somewhat,slightly more satisfied than r,WI,1984,Demsupp,TRUE,FALSE,FALSE,TRUE,24,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,North Central,Rep
lib_nocue,"about $1,000 a month",expand,"about 100,000",some college,female,Female,TRUE,Vice President,neither approve nor disapprove,somewhat prefer complex proble,a great deal,NA,like somewhat,like somewhat,relief and satisfaction to the,MI,1966,nocue,FALSE,FALSE,TRUE,FALSE,42,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,North Central,Rep
lib_Demsupp,"about $2,000 a month",neither,"about 50,000",B.A.,female,female,TRUE,Vice President,neither approve nor disapprove,slightly prefer complex proble,a lot,no preference,like a little,dislike a little,somewhat more satisfied than r,WY,1978,Demsupp,TRUE,FALSE,TRUE,FALSE,30,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,Dem
lib_nocue,"about $1,500 a month",expand,"about 100,000",Associate's Degree,male,male,TRUE,vice president,disapprove slightly,slightly prefer simple problem,a moderate amount,"slightly prefer small, daily p",dislike somewhat,like somewhat,somewhat more relieved than sa,IL,1973,nocue,FALSE,FALSE,FALSE,TRUE,35,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,North Central,Rep
con_Demsupp,about $500 a month,reduce,"about 50,000",some college,female,female,TRUE,vice president,disapprove strongly,no preference,a great deal,no preference,neither like nor dislike,like somewhat,slightly more satisfied than r,TX,1973,Demsupp,TRUE,FALSE,TRUE,FALSE,35,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,Rep
