article.type,cue.memory.cutoff,cue.memory.policy,cue.memory.total.recipients,education,gender,gender.original,gk.Cheney,gk.Cheney.original,initial.like,ncog1,ncog3,ncog4,ncog5,ncog6,ncog7,state,year.of.birth,cue.condition,Demsupp,Demopp,female,male,age,age.legit,educ.low,Northeast,North.Central,South,West,region,PID.pre
lib_Demopp,"about $2,000 a month",expand,"about 100,000",Associate's Degree,female,female,FALSE,NA,approve slightly,slightly prefer complex proble,a moderate amount,"slightly prefer small, daily p",dislike a little,like a little,slightly more satisfied than r,MI,1986,Demopp,FALSE,TRUE,TRUE,FALSE,22,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,North Central,Dem
con_Demsupp,about $500 a month,reduce,about 1 million,8th,male,male,TRUE,vice president,disapprove strongly,no preference,a moderate amount,no preference,like a little,like somewhat,relief and satisfaction to the,MO,1989,Demsupp,TRUE,FALSE,FALSE,TRUE,19,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,North Central,Dem
con_Demopp,"about $1,000 a month",expand,"about 100,000",Associate's Degree,male,male,TRUE,Vice President,disapprove slightly,greatly prefer simple problems,a little,"slightly prefer big, long-term",like a little,like a little,much more satisfied than relie,ID,1987,Demopp,FALSE,TRUE,FALSE,TRUE,21,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,Dem
con_nocue,about $500 a month,neither,about 1 million,B.A.,male,male,TRUE,vice president,approve slightly,slightly prefer complex proble,a lot,"somewhat prefer big, long-term",like a lot,like somewhat,somewhat more satisfied than r,NH,1964,nocue,FALSE,FALSE,FALSE,TRUE,44,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Northeast,Dem
lib_Demopp,"about $2,000 a month",expand,"about 50,000",Associate's Degree,male,male,TRUE,VP,approve strongly,greatly prefer simple problems,a lot,"greatly prefer small, daily pr",dislike somewhat,dislike somewhat,somewhat more satisfied than r,WI,1938,Demopp,FALSE,TRUE,FALSE,TRUE,70,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,North Central,Rep
lib_Demopp,"about $1,500 a month",expand,"about 500,000",M.A.,female,femals,TRUE,Vice President,neither approve nor disapprove,no preference,a lot,no preference,like somewhat,like somewhat,somewhat more satisfied than r,IN,1982,Demopp,FALSE,TRUE,TRUE,FALSE,26,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,North Central,Dem
lib_Demsupp,"about $2,000 a month",expand,"about 100,000",B.A.,male,Male,TRUE,Vice President,approve somewhat,slightly prefer complex proble,a lot,"slightly prefer big, long-term",like a little,like a little,slightly more satisfied than r,FL,1964,Demsupp,TRUE,FALSE,FALSE,TRUE,44,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,Dem
lib_Demopp,"about $2,500 a month",expand,"about 100,000",12th,female,female,TRUE,Vice President,neither approve nor disapprove,greatly prefer simple problems,a little,"greatly prefer small, daily pr",neither like nor dislike,neither like nor dislike,relief and satisfaction to the,PA,1975,Demopp,FALSE,TRUE,TRUE,FALSE,33,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Northeast,Dem
lib_nocue,"about $1,500 a month",expand,"about 50,000",Associate's Degree,female,female,TRUE,vice president,neither approve nor disapprove,slightly prefer complex proble,a moderate amount,"slightly prefer big, long-term",like somewhat,dislike somewhat,somewhat more satisfied than r,WA,1964,nocue,FALSE,FALSE,TRUE,FALSE,44,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,Rep
lib_Demsupp,"about $2,000 a month",reduce,"about 100,000",B.A.,female,f,TRUE,vice president,disapprove slightly,slightly prefer simple problem,a little,"greatly prefer small, daily pr",dislike a lot,dislike somewhat,relief and satisfaction to the,TX,1982,Demsupp,TRUE,FALSE,TRUE,FALSE,26,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,Dem
