Q10,Q11,Q12,Q16,Q18,Q21,Q25,Q26,Q29,Q30,Q34,Q36,Q39,Q41,Income,Gender,Prayer,SI,Milieu,age1,yearbirth,Age,Q51,Q51other,Q53,Q53other
5,5,6,3,4,5,1,3,5,4,3,2,1,5,NA,1,2,NA,1,21,1998,1,NA,NA,NA,NA
5,5,6,4,5,5,5,5,5,6,6,6,6,4,2,0,5,6,1,22,1997,1,NA,NA,NA,NA
6,6,NA,6,NA,NA,6,6,4,6,4,6,6,6,1,1,5,7,1,67,1952,5,98,NA,98,NA
5,6,4,5,5,5,6,5,6,6,6,6,4,6,2,0,5,6,1,47,1972,3,99,NA,99,NA
4,5,1,6,3,5,5,5,6,6,6,6,1,6,1,1,1,7,1,64,1955,5,2,NA,12,NA
4,5,5,5,4,5,4,5,6,6,6,6,3,6,2,0,NA,1,1,43,1976,3,99,NA,10,NA
5,5,5,5,4,5,NA,NA,5,6,6,6,2,6,NA,1,5,6,1,43,1976,3,NA,NA,NA,NA
4,5,4,5,5,5,4,5,2,6,2,6,2,1,2,0,5,4,1,22,1997,1,9,10,NA,NA
5,5,5,5,6,5,1,5,4,5,6,6,4,1,2,1,NA,7,1,21,1998,1,NA,NA,NA,NA
6,5,4,5,3,4,6,5,2,6,6,6,1,1,1,0,3,4,1,27,1992,1,NA,NA,NA,NA
5,5,5,5,1,5,1,5,4,5,6,5,4,6,NA,1,1,6,1,32,1987,2,NA,NA,13,14
1,4,1,5,4,5,2,5,5,4,5,5,1,1,2,0,2,6,1,24,1995,1,NA,NA,NA,NA
6,6,4,6,4,4,4,5,6,6,6,6,6,6,2,1,4,NA,1,19,2000,1,7,NA,10,NA
4,4,4,1,3,4,1,5,5,6,6,6,2,6,1,0,5,6,1,55,1964,4,3,NA,10,NA
4,6,6,4,4,6,1,1,6,6,6,4,6,6,1,1,1,4,1,45,1974,3,NA,NA,NA,NA
6,5,6,6,3,5,1,5,6,5,2,6,1,6,2,0,1,7,1,42,1977,3,NA,NA,NA,NA
3,6,4,6,2,4,2,2,6,6,6,5,6,5,NA,1,NA,6,1,20,1999,1,NA,NA,10,NA
3,2,3,5,6,3,1,6,2,5,5,5,1,2,6,0,5,6,1,67,1952,5,98,NA,NA,NA
1,5,1,1,5,5,5,5,6,6,6,6,6,6,2,1,5,7,1,48,1971,3,7,NA,6,NA
5,6,2,1,6,6,5,5,6,6,6,6,6,6,2,0,5,6,1,58,1961,4,9,10,99,NA
5,2,5,5,5,1,4,4,4,6,6,6,3,6,2,1,NA,4,1,38,1981,2,NA,NA,NA,NA
5,5,1,6,5,5,6,6,6,6,6,5,1,6,2,0,5,6,1,31,1988,2,3,NA,12,NA
1,1,1,1,1,1,1,1,1,1,5,5,NA,1,2,1,5,7,1,24,1995,1,NA,NA,NA,NA
5,6,4,6,4,6,4,4,6,6,6,5,NA,1,2,0,1,6,1,37,1982,2,NA,NA,NA,NA
4,1,1,5,5,6,2,5,1,3,6,3,4,1,3,1,5,6,1,22,1997,1,NA,NA,NA,NA
3,6,1,1,1,6,1,4,6,5,1,3,1,6,1,0,5,7,1,62,1957,5,2,NA,12,NA
5,5,2,1,3,5,5,5,6,6,6,6,6,4,4,1,5,6,1,28,1991,1,NA,NA,NA,NA
3,3,4,4,1,1,2,1,6,6,6,6,1,6,2,0,1,2,1,35,1984,2,NA,NA,98,NA
5,4,2,5,1,5,4,5,5,6,6,1,1,1,2,1,1,NA,1,33,1986,2,NA,NA,NA,NA
5,6,5,6,6,5,3,5,6,6,6,6,1,5,1,0,5,6,1,46,1973,3,NA,NA,NA,NA
4,6,5,4,3,1,1,1,6,6,6,6,1,6,3,1,2,4,1,50,1969,4,NA,NA,12,NA
1,3,6,3,3,6,2,5,6,6,5,6,1,6,2,0,3,7,1,26,1993,1,NA,NA,NA,NA
6,6,6,6,6,5,4,4,5,6,6,6,2,6,7,1,5,6,1,39,1980,2,1,NA,11,NA
6,2,4,5,3,5,2,5,4,6,6,6,2,6,3,0,5,5,1,36,1983,2,NA,NA,NA,NA
6,5,5,5,6,5,6,5,6,6,6,6,3,6,1,1,5,6,1,57,1962,4,NA,NA,NA,NA
5,5,4,5,4,4,1,4,6,6,5,5,3,6,2,0,5,6,1,72,1947,5,NA,NA,12,NA
5,5,5,6,4,5,4,4,5,5,6,6,1,5,3,1,5,7,1,52,1967,4,NA,NA,NA,NA
4,5,4,1,4,4,1,5,5,6,6,6,1,6,2,0,5,6,1,34,1985,2,NA,NA,NA,NA
5,5,1,5,5,5,1,5,6,6,6,6,1,6,2,1,1,6,1,21,1998,1,NA,NA,NA,NA
1,5,1,1,5,3,1,1,4,6,NA,5,6,4,2,0,5,7,1,31,1988,2,NA,NA,NA,NA
6,6,1,6,5,5,4,5,6,6,6,5,1,6,1,1,5,6,1,80,1939,5,2,NA,12,NA
1,1,1,5,1,NA,1,5,6,6,6,6,6,5,2,0,5,7,1,40,1979,3,NA,NA,NA,NA
5,5,6,6,3,6,1,6,2,1,6,5,6,6,2,1,1,7,1,30,1989,2,NA,NA,NA,NA
6,5,5,5,5,6,1,1,6,6,6,2,1,6,2,0,5,7,1,44,1975,3,NA,NA,NA,NA
5,3,3,5,5,5,1,5,4,4,5,6,2,6,1,1,1,7,1,23,1996,1,NA,NA,NA,NA
5,5,1,6,4,4,4,5,6,6,6,4,2,3,1,0,5,2,1,62,1957,5,98,NA,12,NA
3,5,2,3,1,3,3,3,1,6,6,6,1,1,1,1,5,7,1,40,1979,3,NA,NA,NA,NA
