"year"	"title"	"url"	"docket_number"	"vote"	"argument_link"	"opinion_link"	"mp3_link"	"transcript_link"	"transcript"	"mp3"
1989	"Venegas v. Mitchell"	"/cases/1980-1989/1989/1989_88_1725"	"88-1725"	"9-0"	"/transcripts/1989/1989_88_1725_argument.xml"	"/transcripts/1989/1989_88_1725_opinion.xml"	"/api/media/sites/default/files/audio/cases/1989/88-1725_19900221-argument.mp3"	"/transcripts/1989/1989_88_1725_argument.xml"	1	1
1989	"Walton v. Arizona"	"/cases/1980-1989/1989/1989_88_7351"	"88-7351"	"5-4"	"/transcripts/1989/1989_88_7351_argument.xml"	NA	"/api/media/sites/default/files/audio/cases/1989/88-7351_19900117-argument.mp3"	"/transcripts/1989/1989_88_7351_argument.xml"	1	1
1989	"Washington v. Harper"	"/cases/1980-1989/1989/1989_88_599"	"88-599"	"6-3"	"/transcripts/1989/1989_88_599_argument.xml"	"/transcripts/1989/1989_88_599_opinion.xml"	"/api/media/sites/default/files/audio/cases/1989/88-599_19891011-argument.mp3"	"/transcripts/1989/1989_88_599_argument.xml"	1	1
1989	"White v. United States"	"/cases/1980-1989/1989/1989_88_928"	"88-928"	"8-1"	"/transcripts/1989/1989_88_928_argument.xml"	"/transcripts/1989/1989_88_928_opinion.xml"	"/api/media/sites/default/files/audio/cases/1989/88-928_19891003-argument.mp3"	"/transcripts/1989/1989_88_928_argument.xml"	1	1
1989	"Whitmore v. Arkansas"	"/cases/1980-1989/1989/1989_88_7146"	"88-7146"	"7-2"	"/transcripts/1989/1989_88_7146_argument.xml"	"/transcripts/1989/1989_88_7146_opinion.xml"	"/api/media/sites/default/files/audio/cases/1989/88-7146_19900110-argument.mp3"	"/transcripts/1989/1989_88_7146_argument.xml"	1	1
1989	"Wilder v. Virginia Hospital Assoc."	"/cases/1980-1989/1989/1989_88_2043"	"88-2043"	"5-4"	"/transcripts/1989/1989_88_2043_argument.xml"	NA	"/api/media/sites/default/files/audio/cases/1989/88-2043_19900109-argument.mp3"	"/transcripts/1989/1989_88_2043_argument.xml"	1	1
1989	"Yellow Freight System, Inc. v. Donnelly"	"/cases/1980-1989/1989/1989_89_431"	"89-431"	"9-0"	"/transcripts/1989/1989_89_431_argument.xml"	"/transcripts/1989/1989_89_431_opinion.xml"	"/api/media/sites/default/files/audio/cases/1989/89-431_19900228-argument.mp3"	"/transcripts/1989/1989_89_431_argument.xml"	1	1
1989	"Zinermon v. Burch"	"/cases/1980-1989/1989/1989_87_1965"	"87-1965"	"5-4"	"/transcripts/1989/1989_87_1965_argument.xml"	"/transcripts/1989/1989_87_1965_opinion.xml"	"/api/media/sites/default/files/audio/cases/1989/87-1965_19900227-opinion.mp3"	"/transcripts/1989/1989_87_1965_argument.xml"	0	1
1990	"Air Courier Conference v. Postal Workers"	"/cases/1990-1999/1990/1990_89_1416"	"89-1416"	"9-0"	NA	"/transcripts/1990/1990_89_1416_opinion.xml"	"/api/media/sites/default/files/audio/cases/1990/89-1416_19901128-argument.mp3"	"/transcripts/1990/transcript_183.xml"	1	1
1990	"Air Line Pilots v. O'neill"	"/cases/1990-1999/1990/1990_89_1493"	"89-1493"	"9-0"	NA	"/transcripts/1990/1990_89_1493_opinion.xml"	"/api/media/sites/default/files/audio/cases/1990/89-1493_19910114-argument.mp3"	"/transcripts/1990/transcript_166.xml"	1	1
1990	"Airports Auth. v. Citizens For Noise Abatement"	"/cases/1990-1999/1990/1990_90_906"	"90-906"	"6-3"	NA	"/transcripts/1990/1990_90_906_opinion.xml"	"/api/media/sites/default/files/audio/cases/1990/90-906_19910416-argument.mp3"	"/transcripts/1990/transcript_124.xml"	0	0
1990	"American Hospital Assn v. NLRB"	"/cases/1990-1999/1990/1990_90_97"	"90-97"	"9-0"	NA	"/transcripts/1990/1990_90_97_opinion.xml"	"/api/media/sites/default/files/audio/cases/1990/90-97_19910225-argument.mp3"	"/transcripts/1990/transcript_148.xml"	1	1
1990	"Arcadia v. Ohio Power Co."	"/cases/1990-1999/1990/1990_89_1283"	"89-1283"	"8-0"	NA	"/transcripts/1990/1990_89_1283_opinion.xml"	"/api/media/sites/default/files/audio/cases/1990/89-1283_19901001-argument.mp3"	"/transcripts/1990/transcript_224.xml"	1	1
1990	"Arizona v. Fulminante"	"/cases/1990-1999/1990/1990_89_839"	"89-839"	"5-4"	NA	"/transcripts/1990/1990_89_839_opinion.xml"	"/api/media/sites/default/files/audio/cases/1990/89-839_19901010-argument.mp3"	"/transcripts/1990/transcript_210.xml"	0	0
1990	"Astoria Federal S. & L. Ass'n. v. Solimino"	"/cases/1990-1999/1990/1990_89_1895"	"89-1895"	"9-0"	NA	"/transcripts/1990/1990_89_1895_opinion.xml"	"/api/media/sites/default/files/audio/cases/1990/89-1895_19910417-argument.mp3"	"/transcripts/1990/transcript_121.xml"	1	1
1990	"Automobile Workers v. Johnson Controls, Inc."	"/cases/1990-1999/1990/1990_89_1215"	"89-1215"	"9-0"	NA	"/transcripts/1990/1990_89_1215_opinion.xml"	"/api/media/sites/default/files/audio/cases/1990/89-1215_19901010-argument.mp3"	"/transcripts/1990/transcript_208.xml"	1	1
1990	"Barnes v. Glen Theatre Inc."	"/cases/1990-1999/1990/1990_90_26"	"90-26"	"5-4"	"/transcripts/1990/1990_90_26_argument.xml"	"/transcripts/1990/1990_90_26_opinion.xml"	"/api/media/sites/default/files/audio/cases/1990/90-26_19910108-argument.mp3"	"/transcripts/1990/1990_90_26_argument.xml"	1	1
1990	"Blatchford v. Native Village Of Noatak"	"/cases/1990-1999/1990/1990_89_1782"	"89-1782"	"6-3"	NA	"/transcripts/1990/1990_89_1782_opinion.xml"	"/api/media/sites/default/files/audio/cases/1990/89-1782_19910219-argument.mp3"	"/transcripts/1990/transcript_155.xml"	1	1
1990	"Board of Education of Oklahoma City v. Dowell"	"/cases/1990-1999/1990/1990_89_1080"	"89-1080"	"5-3"	"/transcripts/1990/1990_89_1080_argument.xml"	"/transcripts/1990/1990_89_1080_opinion.xml"	"/api/media/sites/default/files/audio/cases/1990/89-1080_19901002-argument.mp3"	"/transcripts/1990/1990_89_1080_argument.xml"	1	1
1990	"Braxton v. United States"	"/cases/1990-1999/1990/1990_90_5358"	"90-5358"	"9-0"	NA	"/transcripts/1990/1990_90_5358_opinion.xml"	"/api/media/sites/default/files/audio/cases/1990/90-5358_19910318-argument.mp3"	"/transcripts/1990/transcript_143.xml"	1	1
1990	"Burns v. Reed"	"/cases/1990-1999/1990/1990_89_1715"	"89-1715"	"9-0"	NA	"/transcripts/1990/1990_89_1715_opinion.xml"	"/api/media/sites/default/files/audio/cases/1990/89-1715_19901128-argument.mp3"	"/transcripts/1990/transcript_182.xml"	1	1
1990	"Burns v. United States"	"/cases/1990-1999/1990/1990_89_7260"	"89-7260"	"5-4"	NA	"/transcripts/1990/1990_89_7260_opinion.xml"	"/api/media/sites/default/files/audio/cases/1990/89-7260_19901203-argument.mp3"	"/transcripts/1990/transcript_178.xml"	0	0
