fast	extraction amount	cooperation =(20-extraction)/20	timeDEC	inTime	experienced	L_numStudies	gender	age	ed	social_cons	fiscal_cons	god	failedComp
0	20	0	28.105	1	1	2.569374	1	24	5	5	5	8	0
1	6	0.7	6.603	1	0		1	37	6	4	4	1	0
1	20	0	9.803	0	1	3.079543	1	26	4	3	4	1	0
1	10	0.5	5.998	1	1	3.161667	2	24	6	1	1	1	0
0	0	1	12.756	1	1	2.363612	1	20	4	3	6	1	0
1	20	0	7.608	1	1	1.748188	2	26	4	1	5	1	0
0	10	0.5	18.501	1	0	1.70757	2	30	5	5	5	1	0
1	0	1	6.389	1	1	3.278982	2	58	5	1	2	1	0
0	20	0	12.25	1	0	2.478566	2	23	2	2	5	1	1
1	0	1	3.546	1	0	3.176381	2	30	4	1	1	3	1
0	20	0	24.755	1	0	1.591065	2	26	5	3	3	10	0
1	20	0	6.992	1	1	1.70757	2	30	5	1	1	1	0
0	0	1	5.487	0	1	2.954725	2	30	4	1	1	1	0
1	0	1	6.564	1	0	2.399674	1	23	2	3	4	10	0
0	5	0.75	6.169	0	1	3.000434	2	24	2	1	3	1	0
1	5	0.75	9.009	0	1	2.87564	1	36	5	3	5	7	0
0	5	0.75	19.832	1	1	3.176381	2	24	5	1	1	1	0
1	20	0	6.875	1	1	2.178977	1	30	5	3	3	4	0
0	20	0	18.228	1	1	2.903632	1	59	4	5	6	10	0
0	0	1	15.966	1	1	2.778874	1	32	4	2	7	1	1
1	0	1	4.483	1	0		1	25	5	4	4	5	1
0	20	0	5.822	0	0	3.073352	1	27	5	2	3	8	0
1	20	0	5.989	1	1	3.001734	1	37	4	1	6	1	0
0	20	0	12.356	1	1	3.000434	1	32	4	1	3	1	0
1	20	0	9.407	0	1	2.699838	2	54	5	6	6	10	0
1	20	0	9.079	0	1	3.496238	1	28	4	3	5	7	0
1	20	0	6.127	1	1	0.69897	1	21	2	3	4	7	0
1	10	0.5	6.47	1	1	3.101059	1	31	3	3	3	1	0
0	0	1	19.309	1	1	2.303196	2	32	4	2	3	10	0
0	0	1	11.194	1	1	3.041787	2	20	2	1	2	1	0
1	20	0	4.663	1	1	2.303196	1	24	5	6	6	10	0
1	1	0.95	5.958	1	1	1.556303	1	31	5	5	6	9	0
1	0	1	7.65	1	1	3.000434	2	53	4	2	2	1	0
1	0	1	4.544	1	1	2.929929	1	28	4	3	3	1	1
1	20	0	9.797	0	1	2.485721	2	19	4	2	2	1	0
0	20	0	27.321	1	1	2.699838	1	25	5	1	3	1	0
1	10	0.5	6.166	1	1	2.545307	2	28	5	2	6	1	0
1	20	0	4.297	1	1	3.079543	1	21	4	3	3	1	1
1	20	0	5.696	1	1	2.178977	1	25	5	3	4	6	0
0	0	1	14.936	1	0	1.431364	1	28	4	5	5	1	0
0	0	1	22.76	1	1	2.87564	1	29	5	5	5	1	0
0	20	0	13.897	1	1	3.079543	1	20	4	3	5	10	0
0	0	1	14.974	1	1	3.005181	2	19	4	4	4	10	1
0	0	1	13.651	1	1	3.079543	1	34	1	1	1	1	0
0	10	0.5	3.554	0	0	2.478566	1	20	2	4	5	7	0
1	10	0.5	6.506	1	0	1.322219	1	32	4	2	5	1	0
1	0	1	4.239	1	1	2.082785	1	26	5	1	7	1	0
1	8	0.6	6.807	1	1	2.478566	1	21	4	2	3	3	0
0	0	1	19.626	1	0	1.959041	2	23	4	3	2	10	0
1	13	0.35	2.438	1	1	0.7781513	1	22	5	4	5	6	0
0	0	1	13.352	1	1	3.477266	2	26	2	1	1	10	0
1	20	0	6.389	1	1	3.176381	1	29	6	2	4	1	0
0	20	0	14.071	1	1	2.654176	1	20	4	4	4	1	0
1	20	0	5.451	1	1	1.041393	1	35	4	4	6	9	1
0	0	1	12.318	1	1	2.004321	2	26	4	2	7	9	1
0	0	1	18.888	1	0	2.245513	1	22	5	1	1	1	0
1	10	0.5	5.114	1	1	2.954725	1	23	5	4	5	1	0
1	0	1	9.784	0	1	1.414973	1	53	6	6	7	8	0
1	0	1	5.642	1	1	1.70757	2	19	4	1	3	1	0
1	0	1	16.35	0	1	2.478566	1	24	4	1	1	1	0
0	0	1	6.506	0	1	2.004321	2	19	4	4	4	10	0
1	0	1	10.224	0	0	1.414973	1	21	5	3	5	4	0
1	20	0	9.507	0	1	2.699838	2	45	4	6	7	10	0
0	5	0.75	19.845	1	0	1.934498	2	21	2	3	5	3	0
1	10	0.5	5.074	1	1	2.661813	1	19	2	4	4	3	0
0	15	0.25	14.019	1	1	2.025306	1	26	5	2	5	1	0
1	0	1	6.464	1	1	0.7781513	1	33	4	4	4	1	0
1	10	0.5	3.073	1	1	2.004321	2	28	3	2	3	1	1
1	0	1	8.792	0	1	2.004321	2	23	5	2	7	2	0
1	0	1	4.945	1	1	2.082785	1	32	5	3	5	10	1
0	20	0	82.51	1	1	2.399674	1	24	2	1	4	1	0
0	0	1	13.198	1	0	2.178977	2	36	4	2	5	1	0
1	15	0.25	9.209	0	1	2.603144	1	22	4	1	1	2	1
0	0	1	17.744	1	1	1.322219	2	32	2	5	4	10	0
0	20	0	13.696	1	0	2.303196	2	21	5	5	4	7	0
0	0	1	12.411	1	1	2.699838	1	25	4	3	5	1	0
1	20	0	6.687	1	1	1.70757	2	48	4	1	6	10	0
1	10	0.5	4.009	1	1	2.741152	2	35	6	2	5	1	0
0	0	1	12.99	1	1	3.041787	1	22	4	1	3	7	1
1	20	0	5.865	1	1	2.699838	1	22	4	2	3	10	0
0	0	1	16.03	1	1	2.303196	1	22	5	1	3	1	0
1	0	1	7.517	1	1	2.778874	1	27	4	4	4	3	0
1	0	1	6.72	1	1	2.399674	1	24	5	4	4	10	0
1	0	1	8.05	0	1	3.000434	2	25	5	3	3	8	1
1	20	0	7.2	1	1	2.55145	2	35	4	4	4	8	0
1	0	1	4.886	1	1	2.478566	2	28	6	1	2	1	1
0	20	0	27.646	1	0	0.7781513	1	27	4	3	3	9	0
1	0	1	7.137	1	0	1.851258	1	31	5	1	2	1	1
0	20	0	15.849	1	1	1.70757	1	21	2	4	6	1	0
0	10	0.5	14.358	1	1	2.499687	1	38	3	2	6	1	0
0	5	0.75	41.44	1	1	2.082785	2	49	4	2	2	7	0
1	0	1	5.285	1	0	1.70757	1	29	5	4	4	7	0
